Date,Price,Open,High,Low,Vol.,Change %
31/01/2025,16.4625,17.0975,17.94,16.4,,-5.33%
30/01/2025,17.39,18.64,18.985,17.2175,,-6.71%
29/01/2025,18.64,18.195,19.01,17.2875,0.00K,0.0245
28/01/2025,18.195,18.1325,18.5025,16.8275,0.00K,0.0034
27/01/2025,18.1325,16.745,18.5225,16.745,0.00K,0.0829
24/01/2025,16.745,16.695,17.31,16.1175,0.00K,0.003
23/01/2025,16.695,16.7725,17.0825,15.6675,0.00K,-0.46%
22/01/2025,16.7725,17.055,17.295,15.905,0.00K,-1.66%
21/01/2025,17.055,16.415,17.445,15.2025,0.00K,0.039
20/01/2025,16.415,15.7475,17.02,15.1825,0.00K,0.0424
17/01/2025,15.7475,15.465,16.3825,14.0525,0.00K,0.0183
16/01/2025,15.465,15.2575,15.5725,13.9575,0.00K,0.0136
15/01/2025,15.2575,15.47,15.6625,15.1975,0.00K,-1.37%
14/01/2025,15.47,15.9975,15.9975,15.115,0.00K,-3.30%
13/01/2025,15.9975,14.915,16.185,14.45,0.00K,0.0726
10/01/2025,14.915,14.6575,15.515,14.6575,0.00K,0.0176
09/01/2025,14.6575,14.465,14.885,13.7475,0.00K,0.0133
08/01/2025,14.465,14.66,14.88,14.095,0.00K,-1.33%
07/01/2025,14.66,15.65,15.65,14.345,0.00K,-6.33%
06/01/2025,15.65,13.54,15.92,13.54,0.00K,0.1558
03/01/2025,13.54,13.7375,13.9775,13.225,0.00K,-1.44%
02/01/2025,13.7375,14.5075,14.8025,13.63,0.00K,-5.31%
01/01/2025,14.5075,14.4475,14.835,14.305,0.00K,0.0042
31/12/2024,14.4475,13.9725,14.6375,13.9725,0.00K,0.034
30/12/2024,13.9725,13.2375,14.37,13.2375,0.00K,0.0555
27/12/2024,13.2375,14.035,14.2375,13.035,0.00K,-5.68%
26/12/2024,14.035,13.1775,14.3875,13.0825,0.00K,0.0651
24/12/2024,13.1775,13.52,15.03,12.975,0.00K,-2.53%
23/12/2024,13.52,15.0725,16.8825,13.4175,0.00K,-10.30%
20/12/2024,15.0725,14.51,15.5525,14.3975,0.00K,0.0388
19/12/2024,14.51,14.3725,15.435,13.87,0.00K,0.0096
18/12/2024,14.3725,14.485,15.2425,14.27,0.00K,-0.78%
17/12/2024,14.485,14.02,14.975,13.18,0.00K,0.0332
16/12/2024,14.02,13.0525,14.505,13.0525,0.00K,0.0741
13/12/2024,13.0525,13.19,14.72,12.47,0.00K,-1.04%
12/12/2024,13.19,13.2675,13.4,12.9475,0.00K,-0.58%
11/12/2024,13.2675,13.7775,14.11,13.175,0.00K,-3.70%
10/12/2024,13.7775,14.1075,14.6725,13.6975,0.00K,-2.34%
09/12/2024,14.1075,14.14,14.635,13.45,0.00K,-0.23%
06/12/2024,14.14,14.5275,15.0225,14.045,0.00K,-2.67%
05/12/2024,14.5275,14.45,15.705,14.055,0.00K,0.0054
04/12/2024,14.45,14.3725,14.7975,14.11,0.00K,0.0054
03/12/2024,14.3725,14.7,14.89,14.235,0.00K,-2.23%
02/12/2024,14.7,14.425,15.08,13.3125,0.00K,0.0191
29/11/2024,14.425,15.205,15.4575,14.3325,0.00K,-5.13%
28/11/2024,15.205,14.625,15.5625,14.27,0.00K,0.0397
27/11/2024,14.625,15.305,15.305,13.245,0.00K,-4.44%
26/11/2024,15.305,15.3025,16.26,13.8725,0.00K,0.0002
25/11/2024,15.3025,16.0975,16.865,13.63,0.00K,-4.94%
22/11/2024,16.0975,15.99,18.67,12.7525,0.00K,0.0067
21/11/2024,15.99,15.6625,16.78,14.8375,0.00K,0.0209
19/11/2024,15.6625,15.1675,16.185,12.7325,0.00K,0.0326
18/11/2024,15.1675,14.775,16.58,13.755,0.00K,0.0266
14/11/2024,14.775,15.435,15.685,13.4075,,-4.28%
13/11/2024,15.435,14.59,15.865,13.9325,,0.0579
12/11/2024,14.59,14.27,14.8375,12.74,,0.0224
11/11/2024,14.27,14.47,15.47,13.1175,,-1.38%
08/11/2024,14.47,14.94,15.725,14.3925,,-3.15%
07/11/2024,14.94,14.8675,15.5225,14.2675,,0.0049
06/11/2024,14.8675,16.1225,20.75,14.7125,,-7.78%
05/11/2024,16.1225,16.6875,19.02,15.795,,-3.39%
04/11/2024,16.6875,15.9025,17.6,14.7775,,0.0494
01/11/2024,15.9025,15.55,16.125,13.6325,,0.0227
31/10/2024,15.55,15.51,16.24,14.6525,,0.0026
30/10/2024,15.51,14.515,15.7,14.28,,0.0685
29/10/2024,14.515,14.29,15.0275,13.5575,,0.0157
28/10/2024,14.29,14.6325,15.4775,13.535,,-2.34%
25/10/2024,14.6325,13.97,15.08,13.35,,0.0474
24/10/2024,13.97,14.6225,14.8975,12.695,,-4.46%
23/10/2024,14.6225,14.395,15.0325,11.74,,0.0158
22/10/2024,14.395,13.7625,14.515,9.47,,0.046
21/10/2024,13.7625,13.0375,14.195,12.5525,,0.0556
18/10/2024,13.0375,13.3875,14.06,12.8675,,-2.61%
17/10/2024,13.3875,13.0525,13.465,11.0625,,0.0257
16/10/2024,13.0525,13.0025,13.56,11.435,,0.0038
15/10/2024,13.0025,12.995,13.3625,10.9225,,0.0006
14/10/2024,12.995,13.22,13.735,12.915,,-1.70%
11/10/2024,13.22,13.495,13.7025,11.535,,-2.04%
10/10/2024,13.495,14.1225,14.1225,11.7275,,-4.44%
09/10/2024,14.1225,14.5875,14.5875,12.7,,-3.19%
08/10/2024,14.5875,15.08,15.555,13.8775,,-3.27%
07/10/2024,15.08,14.1275,15.5,13.6175,,0.0674
04/10/2024,14.1275,13.17,14.48,12.285,,0.0727
03/10/2024,13.17,11.9875,13.9275,11.685,,0.0986
01/10/2024,11.9875,12.7875,12.7875,11.7125,,-6.26%
